Local date,UTC Date,Voyage number,Distance to last port (NM),Distance to next port (NM),Sailed distance GPS (NM),Sailed distance log (NM),Latitude as decimal,Longitude as decimal
30.09.2016 12:00,30.09.2016 04:00,025E,"1,191.00",131.00,366.00,375.00,12.59,119.42
01.10.2016 12:00,01.10.2016 04:00,025W,47.00,54.00,45.00,46.00,13.88,120.55
03.10.2016 12:00,03.10.2016 04:00,025W,48.00,375.00,46.00,46.00,14.03,120.54
04.10.2016 12:00,04.10.2016 04:00,025W,257.00,166.00,209.00,204.00,11.89,122.97
06.10.2016 12:00,06.10.2016 04:00,025W,179.00,"1,186.00",173.00,178.00,10.21,123.90
07.10.2016 12:00,07.10.2016 04:00,025W,837.00,841.00,345.00,355.00,7.45,116.26
08.10.2016 12:00,08.10.2016 04:00,025W,475.00,490.00,351.00,365.00,5.09,110.95
09.10.2016 12:00,09.10.2016 04:00,025W,"1,189.00",176.00,314.00,320.00,2.32,106.53
11.10.2016 12:00,11.10.2016 04:00,026E,140.00,"1,184.00",128.00,132.00,2.00,105.85
12.10.2016 12:00,12.10.2016 04:00,026E,499.00,825.00,359.00,365.00,5.06,110.95
13.10.2016 12:00,13.10.2016 04:00,026E,853.00,471.00,354.00,365.00,8.07,115.97
14.10.2016 12:00,14.10.2016 04:00,026E,"1,207.00",117.00,354.00,365.00,12.76,119.57
15.10.2016 12:00,15.10.2016 04:00,026W,34.00,64.00,31.00,34.00,13.67,120.61
16.10.2016 12:00,16.10.2016 04:00,026W,86.00,15.00,52.00,65.00,14.48,120.75
17.10.2016 12:00,17.10.2016 04:00,026W,20.00,397.00,17.00,16.00,14.43,120.70
20.10.2016 12:00,20.10.2016 04:00,026W,175.00,"1,190.00",168.00,175.00,8.81,121.87
21.10.2016 12:00,21.10.2016 04:00,026W,517.00,848.00,342.00,368.00,7.50,116.36
22.10.2016 12:09,22.10.2016 04:09,026W,874.00,491.00,357.00,368.00,5.10,110.95
23.10.2016 12:00,23.10.2016 04:00,026W,"1,190.00",175.00,316.00,325.00,2.31,106.52
25.10.2016 12:00,25.10.2016 04:00,027E,58.00,"1,260.00",52.00,53.00,1.50,104.67
26.10.2016 12:00,26.10.2016 04:00,027E,434.00,882.00,376.00,385.00,4.51,110.13
27.10.2016 12:00,27.10.2016 04:00,027E,808.00,510.00,374.00,385.00,7.54,115.53
28.10.2016 12:00,28.10.2016 04:00,027E,"1,183.00",135.00,375.00,388.00,12.54,119.38
29.10.2016 12:00,29.10.2016 04:00,027W,35.00,65.00,33.00,36.00,13.73,120.62
02.11.2016 12:00,02.11.2016 04:00,027W,333.00,80.00,333.00,331.00,11.38,124.22
03.11.2016 12:00,03.11.2016 04:00,027W,120.00,"1,234.00",120.00,119.00,8.92,122.66
04.11.2016 12:00,04.11.2016 04:00,027W,482.00,872.00,362.00,360.00,7.68,116.81
05.11.2016 12:00,05.11.2016 04:00,027W,812.00,542.00,330.00,328.00,5.59,111.72
06.11.2016 12:00,06.11.2016 04:00,027W,"1,140.00",214.00,328.00,327.00,2.61,107.18
